word	sentence#	tag	pos	lemma
skúmaskot	132	O	nhfo	skúmaskot
þar	132	O	aa	þar
sem	132	O	c	sem
leyndarmálin	132	O	nhfng	leyndarmál
liggja	132	O	sfg3fn	liggja
.	132	O	.	.

Leyndarmál	133	O	nhfn	leyndarmál
sem	133	O	ct	sem
segja	133	O	sfg3fn	segja
kannski	133	O	aa	kannski
hver	133	O	fshfn	hver
við	133	O	fp1fn	ég
erum	133	O	sfg1fn	vera
.	133	O	.	.

En	134	O	c	en
tíminn	134	O	nkeng	tími
gengur	134	O	sfg3en	ganga
á	134	O	ao	á
líkamann	134	O	nkeog	líkami
og	134	O	c	og
við	134	O	fp1fn	ég
sjáum	134	O	sfg1fn	sjá
hvernig	134	O	aa	hvernig
hann	134	O	fpken	hann
þeytir	134	O	sfg3en	þeyta
honum	134	O	fpkeþ	hann
til	134	O	aa	til
og	134	O	c	og
frá	134	O	aa	frá
.	134	O	.	.

Hugurinn	135	O	nkeng	hugur
sveiflast	135	O	sfm3en	sveifla
einnig	135	O	aa	einnig
fram	135	O	aa	fram
og	135	O	c	og
aftur	135	O	aa	aftur
,	135	O	,	,
er	135	O	sfg3en	vera
alla	135	O	fokfo	allur
jafna	135	O	lkfosf	jafn
síkvikur	135	O	lkensf	síkvikur
eða	135	O	c	eða
festir	135	O	sfg3en	festa
sig	135	O	fpkeo	sig
í	135	O	aþ	í
einhverju	135	O	foheþ	einhver
fari	135	O	nheþ	far
þar	135	O	aa	þar
sem	135	O	c	sem
hann	135	O	fpken	hann
telur	135	O	sfg3en	telja
vera	135	O	sng	vera
öruggt	135	O	lheosf	öruggur
.	135	O	.	.

Sá	136	O	faken	sá
hugur	136	O	nken	hugur
sem	136	O	ct	sem
nær	136	O	sfg3en	ná
að	136	O	cn	að
haldast	136	O	snm	halda
heill	136	O	lkensf	heill
og	136	O	c	og
óbrjálaður	136	O	lkensf	óbrjálaður
þrátt	136	O	aa	þrátt
fyrir	136	O	ao	fyrir
að	136	O	c	að
líkaminn	136	O	nkeng	líkami
sem	136	O	ct	sem
hann	136	O	fpken	hann
dvelur	136	O	sfg3en	dvelja
í	136	O	aa	í
sé	136	O	svg3en	vera
farinn	136	O	sþgken	fara
að	136	O	cn	að
hrörna	136	O	sng	hrörna
og	136	O	c	og
bogna	136	O	sng	bogna
er	136	O	sfg3en	vera
talinn	136	O	sþgken	telja
spakur	136	O	lkensf	spakur
og	136	O	c	og
nýtur	136	O	sfg3en	njóta
iðulega	136	O	aa	iðulega
ómældrar	136	O	lveesf	ómældur
virðingar	136	O	nvee	virðing
hver	136	O	foken	hver
sem	136	O	ct	sem
kann	136	O	sfg3en	kunna
að	136	O	cn	að
eiga	136	O	sng	eiga
þann	136	O	fakeo	sá
huga	136	O	nkeo	hugi
.	136	O	.	.

Öldungurinn	137	O	nkeng	öldungur
er	137	O	sfg3en	vera
ætíð	137	O	aa	ætíð
með	137	O	ao	með
einhvern	137	O	fokeo	einhver
viskuglampa	137	O	nkeo	viskuglampi
í	137	O	aþ	í
djúpu	137	O	lheþsf	djúpur
auga	137	O	nheþ	auga
þó	137	O	aa	þó
elligul	137	O	lvensf	elligulur
höndin	137	O	nveng	hönd
sé	137	O	svg3en	vera
kreppt	137	O	lvensf	krepptur
.	137	O	.	.

Oft	138	O	aa	oft
er	138	O	sfg3en	vera
sem	138	O	c	sem
manneskjan	138	O	nveng	manneskja
svífi	138	O	svg3en	svífa
um	138	O	aa	um
á	138	O	aþ	á
vettvangi	138	O	nkeþ	vettvangur
hversdagsins	138	O	nkeeg	hversdagur
með	138	O	ao	með
annarlegan	138	O	lkeosf	annarlegur
svip	138	O	nkeo	svipur
í	138	O	aþ	í
andliti	138	O	nheþ	andlit
og	138	O	c	og
jafnvel	138	O	aa	jafnvel
kvíðafullan	138	O	lkeosf	kvíðafullur
-	138	O	-	-
og	138	O	c	og
hugurinn	138	O	nkeng	hugur
hvikull	138	O	lkensf	hvikull
eða	138	O	c	eða
staðfastur	138	O	lkensf	staðfastur
.	138	O	.	.

Hún	139	O	fpven	hún
veit	139	O	sfg3en	vita
að	139	O	c	að
hversdagurinn	139	O	nkeng	hversdagur
þar	139	O	aa	þar
sem	139	O	c	sem
hún	139	O	fpven	hún
mæðist	139	O	sfm3en	mæða
í	139	O	aþ	í
mörgu	139	O	lheþsf	margur
er	139	O	sfg3en	vera
tímabundinn	139	O	lkensf	tímabundinn
viðkomustaður	139	O	nken	viðkomustaður
þegar	139	O	c	þegar
öllu	139	O	foheþ	allur
er	139	O	sfg3en	vera
á	139	O	ao	á
botninn	139	O	nkeog	botn
hvolft	139	O	sþghen	hvolfa
og	139	O	c	og
sömuleiðis	139	O	aa	sömuleiðis
jafnvel	139	O	aa	jafnvel
líkaminn	139	O	nkeng	líkami
-	139	O	-	-
brothætt	139	O	lhensf	brothættur
geymsluhólf	139	O	nhen	geymsluhólf
hugans	139	O	nkeeg	hugi
.	139	O	.	.

Þessar	140	O	favfn	þessi
staðreyndir	140	O	nvfn	staðreynd
vekja	140	O	sfg3fn	vekja
upp	140	O	aa	upp
í	140	O	aþ	í
huganum	140	O	nkeþg	hugi
ýmsar	140	O	fovfo	ýmis
spurningar	140	O	nvfo	spurning
sem	140	O	ct	sem
erfitt	140	O	lhensf	erfiður
getur	140	O	sfg3en	geta
verið	140	O	ssg	vera
að	140	O	cn	að
sjá	140	O	sng	sjá
hvar	140	O	aa	hvar
eigi	140	O	svg3fn	eiga
upphaf	140	O	nheo	upphaf
sitt	140	O	feheo	sinn
,	140	O	,	,
hvort	140	O	c	hvort
heldur	140	O	aam	heldur
í	140	O	aþ	í
öllum	140	O	fohfþ	allur
þeim	140	O	fahfþ	sá
boðum	140	O	nhfþ	boð
sem	140	O	ct	sem
hafa	140	O	sfg3fn	hafa
flætt	140	O	ssg	flæða
inn	140	O	aa	inn
í	140	O	ao	í
hugann	140	O	nkeog	hugi
eða	140	O	c	eða
hvort	140	O	c	hvort
megi	140	O	svg3en	mega
líta	140	O	sng	líta
á	140	O	ao	á
þær	140	O	fpvfo	hún
sem	140	O	c	sem
afurð	140	O	nveo	afurð
af	140	O	aþ	af
öllu	140	O	foheþ	allur
því	140	O	faheþ	sá
efni	140	O	nheþ	efni
sem	140	O	ct	sem
hefur	140	O	sfg3en	hafa
hlaðist	140	O	ssm	hlaða
upp	140	O	aa	upp
í	140	O	aþ	í
huganum	140	O	nkeþg	hugi
-	140	O	-	-
nema	140	O	c	nema
hvort	140	O	fohen	hvor
tveggja	140	O	tfhfe	tveir
sé	140	O	svg3en	vera
.	140	O	.	.

Efni	141	O	nhen	efni
og	141	O	c	og
andi	141	O	nken	andi
?	141	O	?	?

Sál	142	O	nven	sál
og	142	O	c	og
líkami	142	O	nken	líkami
?	142	O	?	?

Ein	143	O	tfven	einn
heild	143	O	nven	heild
eða	143	O	c	eða
tvær	143	O	tfvfn	tveir
?	143	O	?	?

Ósjálfrátt	144	O	aa	ósjálfrátt
-	144	O	-	-
eða	144	O	c	eða
sjálfrátt	144	O	aa	sjálfrátt
?	144	O	?	?

-	145	O	-	-
fer	145	O	sfg3en	fara
manneskjan	145	O	nveng	manneskja
að	145	O	cn	að
leita	145	O	sng	leita
að	145	O	aþ	að
nýjum	145	O	lkeþsf	nýr
hvíldarstað	145	O	nkeþ	hvíldarstaður
fyrir	145	O	ao	fyrir
huga	145	O	nkeo	hugi
sinn	145	O	fekeo	sinn
þar	145	O	aa	þar
sem	145	O	c	sem
hún	145	O	fpven	hún
þrátt	145	O	aa	þrátt
fyrir	145	O	ao	fyrir
allt	145	O	foheo	allur
telur	145	O	sfg3en	telja
hann	145	O	fpkeo	hann
vera	145	O	sng	vera
varanlegri	145	O	lkeovm	varanlegur
(	145	O	(	(
eða	145	O	c	eða
úr	145	O	aþ	úr
dýrmætara	145	O	lheþvm	dýrmætur
efni	145	O	nheþ	efni
þó	145	O	aa	þó
mótsagnakennt	145	O	lhensf	mótsagnakenndur
kunni	145	O	svg3en	kunna
að	145	O	cn	að
hljóma	145	O	sng	hljóma
)	145	O	)	)
heldur	145	O	aam	heldur
en	145	O	c	en
þessi	145	O	faken	þessi
efnislíkami	145	O	nken	efnislíkami
sem	145	O	ct	sem
er	145	O	sfg3en	vera
ekki	145	O	aa	ekki
annað	145	O	fohen	annar
en	145	O	c	en
fljótandi	145	O	lhenof	fljótandi
efni	145	O	nhen	efni
að	145	O	aþ	að
langmestu	145	O	lheþse	langmestur
leyti	145	O	nheþ	leyti
.	145	O	.	.

Eða	146	O	c	eða
:	146	O	:	:
Hugurinn	146	O	nkeng	hugur
,	146	O	,	,
svo	146	O	aa	svo
óefniskenndur	146	O	lkensf	óefniskenndur
sem	146	O	c	sem
hann	146	O	fpken	hann
er	146	O	sfg3en	vera
í	146	O	aþ	í
eðli	146	O	nheþ	eðli
sínu	146	O	feheþ	sinn
,	146	O	,	,
verður	146	O	sfg3en	verða
í	146	O	aþ	í
raun	146	O	nveþ	raun
efniskenndari	146	O	lkenvm	efniskenndur
en	146	O	c	en
hinn	146	O	gken	hinn
efniskenndi	146	O	lkenvf	efniskenndur
líkami	146	O	nken	líkami
vegna	146	O	ae	vegna
þeirrar	146	O	favee	sá
hugsunar	146	O	nvee	hugsun
að	146	O	c	að
hann	146	O	fpken	hann
sé	146	O	svg3en	vera
varanlegri	146	O	lkenvm	varanlegur
en	146	O	c	en
líkaminn	146	O	nkeng	líkami
sem	146	O	ct	sem
tímans	146	O	nkeeg	tími
tönn	146	O	nven	tönn
nartar	146	O	sfg3en	narta
sleitulaust	146	O	aa	sleitulaust
í	146	O	aa	í
.	146	O	.	.

Eitt	147	O	tfhen	einn
af	147	O	aþ	af
mörgum	147	O	lhfþsf	margur
boðum	147	O	nhfþ	boð
sem	147	O	ct	sem
berast	147	O	sfm3fn	bera
huganum	147	O	nkeþg	hugi
er	147	O	sfg3en	vera
að	147	O	c	að
honum	147	O	fpkeþ	hann
sé	147	O	svg3en	vera
búinn	147	O	sþgken	búa
hvíldarstaður	147	O	nken	hvíldarstaður
sem	147	O	ct	sem
fyrirbærið	147	O	nheng	fyrirbæri
trú	147	O	nven	trú
talar	147	O	sfg3en	tala
um	147	O	aa	um
.	147	O	.	.

Manneskjan	148	O	nveng	manneskja
fær	148	O	sfg3en	fá
fljótt	148	O	aa	fljótt
vitneskju	148	O	nveo	vitneskja
um	148	O	ao	um
að	148	O	c	að
í	148	O	aþ	í
þessum	148	O	fakeþ	þessi
heimi	148	O	nkeþ	heimur
og	148	O	c	og
utan	148	O	ae	utan
hans	148	O	fpkee	hann
sé	148	O	svg3en	vera
jafnvel	148	O	aa	jafnvel
annar	148	O	foken	annar
veruleiki	148	O	nken	veruleiki
.	148	O	.	.

Að	149	O	c	að
þessi	149	O	faken	þessi
heimur	149	O	nken	heimur
sé	149	O	svg3en	vera
meira	149	O	lheovm	mikill
að	149	O	cn	að
segja	149	O	sng	segja
ekki	149	O	aa	ekki
eins	149	O	aa	eins
og	149	O	c	og
til	149	O	aa	til
hafi	149	O	svg3en	hafa
verið	149	O	ssg	vera
ætlast	149	O	sþmhen	ætla
í	149	O	aþ	í
upphafi	149	O	nheþ	upphaf
.	149	O	.	.

Það	150	O	fphen	það
hafi	150	O	svg3en	hafa
orðið	150	O	ssg	verða
nánast	150	O	aae	náið
nokkurs	150	O	fokee	nokkur
konar	150	O	nkee	konar
skammhlaup	150	O	nhen	skammhlaup
sem	150	O	ct	sem
kom	150	O	sfg3eþ	koma
öllu	150	O	foheþ	allur
í	150	O	ao	í
uppnám	150	O	nheo	uppnám
.	150	O	.	.

En	151	O	c	en
þrátt	151	O	aa	þrátt
fyrir	151	O	ao	fyrir
þessar	151	O	favfo	þessi
gangtruflanir	151	O	nvfo	gangtruflun
veraldar	151	O	nvee	veröld
sé	151	O	svg3en	vera
hinn	151	O	gken	hinn
mikli	151	O	lkenvf	mikill
vélameistari	151	O	nken	vélameistari
að	151	O	aþ	að
störfum	151	O	nhfþ	starf
og	151	O	c	og
muni	151	O	svg3en	munu
hann	151	O	fpken	hann
koma	151	O	sng	koma
öllu	151	O	foheþ	allur
í	151	O	ao	í
lag	151	O	nheo	lag
vegna	151	O	ae	vegna
þess	151	O	fphee	það
að	151	O	c	að
honum	151	O	fpkeþ	hann
sé	151	O	svg3en	vera
annt	151	O	lhensf	annt
um	151	O	ao	um
heiminn	151	O	nkeog	heimur
og	151	O	c	og
manninn	151	O	nkeog	maður
.	151	O	.	.

Þær	152	O	favfn	sá
frásagnir	152	O	nvfn	frásögn
sem	152	O	ct	sem
segja	152	O	sfg3fn	segja
frá	152	O	aþ	frá
þessu	152	O	faheþ	þessi
tilheyri	152	O	svg3fn	tilheyra
flokki	152	O	nkeþ	flokkur
trúrita	152	O	nhfe	trúrit
-	152	O	-	-
rita	152	O	nhfe	rit
sem	152	O	ct	sem
fjalla	152	O	sfg3fn	fjalla
meðal	152	O	ae	meðal
annars	152	O	fohee	annar
um	152	O	ao	um
þá	152	O	fakfo	sá
vegi	152	O	nkfo	vegur
og	152	O	c	og
þær	152	O	favfo	sá
hugsanir	152	O	nvfo	hugsun
sem	152	O	ct	sem
:	152	O	:	:
...	152	O	...	...
eru	152	O	sfg3fn	vera
ekki	152	O	aa	ekki
yðar	152	O	fp2fe	þér
hugsanir	152	O	nvfn	hugsun
,	152	O	,	,
og	152	O	c	og
yðar	152	O	fp2fe	þér
vegir	152	O	nkfn	vegur
ekki	152	O	aa	ekki
mínir	152	O	fekfn	minn
vegir	152	O	nkfn	vegur
-	152	O	-	-
segir	152	O	sfg3en	segja
Drottinn	152	B-Person	nken-s	Drottinn
.	152	O	.	.

Heldur	153	O	c	heldur
svo	153	O	aa	svo
miklu	153	O	lheþsf	mikill
sem	153	O	c	sem
himinninn	153	O	nkeng	himinn
er	153	O	sfg3en	vera
hærri	153	O	lkenvm	hár
en	153	O	c	en
jörðin	153	O	nveng	jörð
,	153	O	,	,
svo	153	O	aa	svo
miklu	153	O	lheþsf	mikill
hærri	153	O	lkfnvm	hár
eru	153	O	sfg3fn	vera
mínir	153	O	fekfn	minn
vegir	153	O	nkfn	vegur
yðar	153	O	fp2fe	þér
vegum	153	O	nkfþ	vegur
og	153	O	c	og
mínar	153	O	fevfn	minn
hugsanir	153	O	nvfn	hugsun
yðar	153	O	fp2fe	þér
hugsunum	153	O	nvfþ	hugsun
.	153	O	.	.

(	154	O	(	(
Jesaja	154	B-Person	e	Jesaja
55.8-9	154	O	ta	55.8-9
)	154	O	)	)
.	154	O	.	.

Engu	155	O	foheþ	enginn
að	155	O	aa	að
síður	155	O	aam	síður
er	155	O	sfg3en	vera
vettvangur	155	O	nken	vettvangur
manneskjunnar	155	O	nveeg	manneskja
þessi	155	O	faven	þessi
veröld	155	O	nven	veröld
og	155	O	c	og
þar	155	O	aa	þar
hefur	155	O	sfg3en	hafa
hún	155	O	fpven	hún
næg	155	O	lhfosf	nægur
verkefni	155	O	nhfo	verkefni
að	155	O	cn	að
vinna	155	O	sng	vinna
.	155	O	.	.

Hugurinn	156	O	nkeng	hugur
tekst	156	O	sfm3en	taka
á	156	O	aa	á
við	156	O	ao	við
trúna	156	O	nveog	trú
og	156	O	c	og
efann	156	O	nkeog	efi
.	156	O	.	.

Oft	157	O	aa	oft
verða	157	O	sfg3fn	verða
átökin	157	O	nhfng	átök
býsna	157	O	aa	býsna
hörð	157	O	lhfnsf	harður
og	157	O	c	og
ekki	157	O	aa	ekki
ætíð	157	O	aa	ætíð
ljóst	157	O	lhensf	ljós
hvor	157	O	foken	hvor
vinnur	157	O	sfg3en	vinna
,	157	O	,	,
trúin	157	O	nveng	trú
eða	157	O	c	eða
efinn	157	O	nkeng	efi
.	157	O	.	.

27/04/2006	158	B-Date	ta	27/04/2006

Helgihald	159	O	nhen	helgihald
í	159	O	aþ	í
fangelsum	159	O	nhfþ	fangelsi
um	159	O	ao	um
páska	159	O	nkfo	páskar

Helgihald	160	O	nhen	helgihald
í	160	O	aþ	í
fangelsum	160	O	nhfþ	fangelsi
landsins	160	O	nheeg	land
á	160	O	aþ	á
vegum	160	O	nkfþ	vegur
fangaprests	160	O	nkee	fangaprestur
þjóðkirkjunnar	160	O	nveeg	þjóðkirkja
verður	160	O	sfg3en	verða
með	160	O	aþ	með
eftirfarandi	160	O	lkeþof	eftirfarandi
hætti	160	O	nkeþ	háttur
hinn	160	O	gkeo	hinn
16.	160	B-Date	ta	16.
apríl	160	I-Date	nkeo	apríl
,	160	I-Date	,	,
páskadag	160	I-Date	nkeo	páskadagur
:	160	O	:	:

Páskaguðsþjónusta	161	O	nven	páskaguðsþjónusta
á	161	O	aþ	á
Litla-Hrauni	161	B-Organization	nheþ-s	Litla-Hraun
kl.	161	B-Time	as	kl.
11	161	I-Time	ta	11

Páskaguðsþjónusta	162	O	nven	páskaguðsþjónusta
á	162	O	aþ	á
Réttargeðdeildinni	162	B-Organization	nveþgs	réttargeðdeild
að	162	I-Organization	aþ	að
Sogni	162	I-Organization	nheþ-s	Sogn
kl.	162	B-Time	as	kl.
13	162	I-Time	ta	13

Páskaguðsþjónusta	163	O	nven	páskaguðsþjónusta
í	163	O	aþ	í
Hegningarhúsinu	163	B-Organization	nheþgs	Hegningarhús
kl.	163	B-Time	as	kl.
15	163	I-Time	ta	15

Páskaguðsþjónusta	164	O	nven	páskaguðsþjónusta
í	164	O	aþ	í
Kópavogsfangelsinu	164	B-Organization	nheþgs	Kópavogsfangelsi
kl.	164	B-Time	as	kl.
16	164	I-Time	ta	16

Um	165	O	ao	um
undirleik	165	O	nkeo	undirleikur
í	165	O	aþ	í
guðsþjónustunum	165	O	nvfþg	guðsþjónusta
sér	165	O	sfg3en	sjá
Hannes	165	B-Person	nken-s	Hannes
Þ.	165	I-Person	as	Þ.
Guðrúnarson	165	I-Person	nken-s	Guðrúnarson
,	165	O	,	,
klassískur	165	O	lkensf	klassískur
gítarleikari	165	O	nken	gítarleikari
og	165	O	c	og
tónmenntakennari	165	O	nken	tónmenntakennari
.	165	O	.	.

Fangaprestur	166	O	nken	fangaprestur
fer	166	O	sfg3en	fara
í	166	O	aþ	í
dymbilviku	166	O	nveþ	dymbilvika
í	166	O	ao	í
fangelsið	166	O	nheog	fangelsi
að	166	O	aþ	að
Kvíabryggju	166	B-Location	nveþ-s	Kvíabryggja
og	166	O	c	og
á	166	O	aþ	á
Akureyri	166	B-Location	nveþ-s	Akureyri
.	166	O	.	.

06/04/2006	167	B-Date	ta	06/04/2006

Að	168	O	cn	að
hugsa	168	O	sng	hugsa
um	168	O	ao	um
Guð	168	B-Person	nkeo-s	Guð

Allir	169	O	fokfn	allur
menn	169	O	nkfn	maður
leiða	169	O	sfg3fn	leiða
einhvern	169	O	fokeo	einhver
tímann	169	O	nkeog	tími
hugann	169	O	nkeog	hugi
að	169	O	aþ	að
Guði	169	B-Person	nkeþ-s	Guð
og	169	O	c	og
spyrja	169	O	sfg3fn	spyrja
sig	169	O	fpkeo	sig
ýmissa	169	O	fovfe	ýmis
spurninga	169	O	nvfe	spurning
um	169	O	ao	um
veru	169	O	nveo	vera
hans	169	O	fpkee	hann
.	169	O	.	.

Þessar	170	O	favfn	þessi
spurningar	170	O	nvfn	spurning
eru	170	O	sfg3fn	vera
nátengdar	170	O	lvfnsf	nátengdur
lífi	170	O	nheþ	líf
mannanna	170	O	nkfeg	maður
í	170	O	aþ	í
heiminum	170	O	nkeþg	heimur
og	170	O	c	og
leit	170	O	nveþ	leit
þeirra	170	O	fpkfe	hann
að	170	O	aþ	að
tilgangi	170	O	nkeþ	tilgangur
.	170	O	.	.

Sumir	171	O	fokfn	sumur
eru	171	O	sfg3fn	vera
fljótir	171	O	lkfnsf	fljótur
að	171	O	cn	að
afskrifa	171	O	sng	afskrifa
Guð	171	B-Person	nkeo-s	Guð
með	171	O	aþ	með
ýmsum	171	O	fohfþ	ýmis
rökum	171	O	nhfþ	rök
og	171	O	c	og
beygja	171	O	sng	beygja
sig	171	O	fpkfo	sig
bara	171	O	aa	bara
hljóðalaust	171	O	aa	hljóðalaust
undir	171	O	aþ	undir
tilgangsleysi	171	O	nheþ	tilgangsleysi
lífsins	171	O	nheeg	líf
en	171	O	c	en
aðrir	171	O	fokfn	annar
nema	171	O	sfg3fn	nema
staðar	171	O	nkee	staður
um	171	O	ao	um
stund	171	O	nveo	stund
og	171	O	c	og
glíma	171	O	sfg3fn	glíma
við	171	O	ao	við
spurninguna	171	O	nveog	spurning
um	171	O	ao	um
eðli	171	O	nheo	eðli
hans	171	O	fpkee	hann
og	171	O	c	og
tilvist	171	O	nveo	tilvist
.	171	O	.	.

Velta	172	O	sfg3fn	velta
vöngum	172	O	nkfþ	vangi
yfir	172	O	aþ	yfir
stöðu	172	O	nveþ	staða
mannsins	172	O	nkeeg	maður
í	172	O	aþ	í
heiminum	172	O	nkeþg	heimur
ef	172	O	c	ef
Guð	172	B-Person	nken-s	Guð
er	172	O	sfg3en	vera
einhvers	172	O	fokee	einhver
staðar	172	O	nkee	staður
á	172	O	aþ	á
kreiki	172	O	nheþ	kreik
.	172	O	.	.

Spyrja	173	O	sfg3fn	spyrja
um	173	O	ao	um
tilgang	173	O	nkeo	tilgangur
Guðs	173	B-Person	nkee-s	Guð
með	173	O	aþ	með
veraldarsiglingunni	173	O	nveþg	veraldarsigling
.	173	O	.	.

Á	174	O	aþ	á
mörgum	174	O	lhfþsf	margur
tímabilum	174	O	nhfþ	tímabil
mannkynssögunnar	174	O	nveeg	mannkynssaga
hafa	174	O	sfg3fn	hafa
menn	174	O	nkfn	maður
talið	174	O	ssg	telja
að	174	O	c	að
Guð	174	B-Person	nken-s	Guð
væri	174	O	svg3eþ	vera
handan	174	O	ae	handan
tilverunnar	174	O	nveeg	tilvera
-	174	O	-	-
utan	174	O	aa	utan
við	174	O	ao	við
hana	174	O	fpveo	hún
.	174	O	.	.

Fjarlægur	175	O	lkensf	fjarlægur
og	175	O	c	og
óræður	175	O	lkensf	óræður
.	175	O	.	.

Hann	176	O	fpken	hann
hefði	176	O	svg3eþ	hafa
vakið	176	O	ssg	vekja
heiminn	176	O	nkeog	heimur
til	176	O	ae	til
lífs	176	O	nhee	líf
og	176	O	c	og
látið	176	O	ssg	láta
sig	176	O	fpkeo	sig
síðan	176	O	aa	síðan
hverfa	176	O	sng	hverfa
.	176	O	.	.

Litið	177	O	ssg	líta
kannski	177	O	aa	kannski
annað	177	O	foheo	annar
slagið	177	O	nheog	slag
á	177	O	ao	á
gangvirki	177	O	nheo	gangvirki
heimsins	177	O	nkeeg	heimur
til	177	O	ae	til
að	177	O	cn	að
sjá	177	O	sng	sjá
hvað	177	O	fshen	hver
væri	177	O	svg3eþ	vera
á	177	O	aþ	á
seyði	177	O	nkeþ	seyðir
.	177	O	.	.

Enn	178	O	aa	enn
aðrir	178	O	fokfn	annar
hafa	178	O	sfg3fn	hafa
talið	178	O	ssg	telja
Guð	178	B-Person	nkeo-s	Guð
vera	178	O	sng	vera
á	178	O	aþ	á
ferli	178	O	nkeþ	ferill
alls	178	O	fokee	allur
staðar	178	O	nkee	staður
í	178	O	aþ	í
heiminum	178	O	nkeþg	heimur
og	178	O	c	og
ekki	178	O	aa	ekki
síst	178	O	aae	síður
í	178	O	aþ	í
náttúrunni	178	O	nveþg	náttúra
.	178	O	.	.

Sólin	179	O	nveng	sól
sem	179	O	ct	sem
kom	179	O	sfg3eþ	koma
upp	179	O	aa	upp
var	179	O	sfg3eþ	vera
sem	179	O	c	sem
heitt	179	O	lhensf	heitur
hjarta	179	O	nhen	hjarta
Guðs	179	B-Person	nkee-s	Guð
og	179	O	c	og
máninn	179	O	nkeng	máni
sem	179	O	ct	sem
leið	179	O	sfg3eþ	líða
upp	179	O	aa	upp
á	179	O	ao	á
himininn	179	O	nkeog	himinn
dularfull	179	O	lvensf	dularfullur
kveðja	179	O	nven	kveðja
hans	179	O	fpkee	hann
að	179	O	aþ	að
kveldi	179	O	nheþ	kveld
dags	179	O	nkee	dagur
.	179	O	.	.

Í	180	O	aþ	í
andvara	180	O	nkeþ	andvari
næturinnar	180	O	nveeg	nótt
gekk	180	O	sfg3eþ	ganga
hann	180	O	fpken	hann
léttum	180	O	lhfþsf	léttur
skrefum	180	O	nhfþ	skref
til	180	O	ae	til
þess	180	O	fphee	það
að	180	O	cn	að
vekja	180	O	sng	vekja
engan	180	O	fokeo	enginn
.	180	O	.	.

En	181	O	c	en
hann	181	O	fpken	hann
var	181	O	sfg3eþ	vera
alls	181	O	fokee	allur
staðar	181	O	nkee	staður
-	181	O	-	-
í	181	O	aþ	í
öllu	181	O	foheþ	allur
.	181	O	.	.

Sýnilegur	182	O	lkensf	sýnilegur
en	182	O	c	en
þó	182	O	aa	þó
ósýnilegur	182	O	lkensf	ósýnilegur
-	182	O	-	-
og	182	O	c	og
kannski	182	O	aa	kannski
dálítið	182	O	aa	dálítið
duttlungarfullur	182	O	lkensf	duttlungarfullur
.	182	O	.	.

Enn	183	O	aa	enn
aðrir	183	O	fokfn	annar
hafa	183	O	sfg3fn	hafa
talið	183	O	ssg	telja
hann	183	O	fpkeo	hann
taka	183	O	sng	taka
fullan	183	O	lkeosf	fullur
þátt	183	O	nkeo	þáttur
í	183	O	aþ	í
framgangi	183	O	nkeþ	framgangur
sögunnar	183	O	nveeg	saga
og	183	O	c	og
jafnvel	183	O	aa	jafnvel
ávítt	183	O	ssg	ávíta
hann	183	O	fpkeo	hann
fyrir	183	O	ao	fyrir
að	183	O	cn	að
vera	183	O	sng	vera
full	183	O	aa	full
afskiptasamur	183	O	lkensf	afskiptasamur
.	183	O	.	.

Fyrri	184	O	lveevm	fyrri
tíðar	184	O	nvee	tíð
menn	184	O	nkfn	maður
áttu	184	O	sfg3fþ	eiga
sennilega	184	O	aa	sennilega
í	184	O	aþ	í
minni	184	O	lkfþvm	lítill
erfiðleikum	184	O	nkfþ	erfiðleiki
en	184	O	c	en
við	184	O	fp1fn	ég
sem	184	O	ct	sem
þeytumst	184	O	sfm1fn	þeyta
um	184	O	aa	um
í	184	O	aþ	í
nútímanum	184	O	nkeþg	nútími
að	184	O	cn	að
tala	184	O	sng	tala
um	184	O	ao	um
Guð	184	B-Person	nkeo-s	Guð
og	184	O	c	og
hugsa	184	O	sng	hugsa
um	184	O	ao	um
hann	184	O	fpkeo	hann
.	184	O	.	.

Tilvist	185	O	nven	tilvist
Guðs	185	B-Person	nkee-s	Guð
var	185	O	sfg3eþ	vera
svo	185	O	aa	svo
sjálfsögð	185	O	lvensf	sjálfsagður
og	185	O	c	og
varpaði	185	O	sfg3eþ	varpa
ljósi	185	O	nheþ	ljós
á	185	O	ao	á
öll	185	O	fohfo	allur
fyrirbæri	185	O	nhfo	fyrirbæri
heimsins	185	O	nkeeg	heimur
-	185	O	-	-
menn	185	O	nkfn	maður
vísuðu	185	O	sfg3fþ	vísa
bara	185	O	aa	bara
til	185	O	ae	til
Guðs	185	B-Person	nkee-s	Guð
til	185	O	ae	til
að	185	O	cn	að
útskýra	185	O	sng	útskýra
þau	185	O	fphfo	það
og	185	O	c	og
fáir	185	O	lkfnsf	fár
gátu	185	O	sfg3fþ	geta
svo	185	O	aa	svo
sem	185	O	c	sem
andmælt	185	O	ssg	andmæla
eða	185	O	c	eða
lagt	185	O	ssg	leggja
fram	185	O	aa	fram
aðrar	185	O	fovfo	annar
sennilegri	185	O	lvfovm	sennilegur
skýringar	185	O	nvfo	skýring
.	185	O	.	.

En	186	O	c	en
framfarir	186	O	nvfn	framför
í	186	O	aþ	í
vísindum	186	O	nhfþ	vísindi
og	186	O	c	og
tækni	186	O	nveþ	tækni
ýttu	186	O	sfg3fþ	ýta
smám	186	O	aa	smám
